date,direction,speed
2008-07-01,229,17.0
2008-07-02,220,21.0
2008-07-03,219,18.0
2008-07-04,223,17.0
2008-07-05,220,18.0
2008-07-06,233,21.0
2008-07-07,240,19.0
2008-07-08,238,18.0
2008-07-09,227,16.0
2008-07-10,228,17.0
2008-07-11,226,20.0
2008-07-12,222,19.0
2008-07-13,215,18.0
2008-07-14,208,17.0
2008-07-15,209,14.0
2008-07-16,214,14.0
2008-07-17,215,15.0
2008-07-18,222,15.0
2008-07-19,221,15.0
2008-07-20,209,15.0
2008-07-21,209,14.0
2008-07-22,207,15.0
2008-07-23,211,13.0
2008-07-24,211,15.0
2008-07-25,222,13.0
2008-07-26,224,12.0
2008-07-27,232,13.0
2008-07-28,236,11.0
2008-07-29,201,10.0
2008-07-30,213,15.0
2008-07-31,215,17.0
2008-08-01,213,17.0
2008-08-02,225,16.0
2008-08-03,222,14.0
2008-08-04,228,11.0
2008-08-05,236,12.0
2008-08-06,246,15.0
2008-08-07,239,17.0
2008-08-08,242,19.0
2008-08-09,256,18.0
2008-08-10,253,14.0
2008-08-11,255,9.0
2008-08-12,228,31.0
2008-08-13,248,16.0
2008-08-14,249,13.0
2008-08-15,225,13.0
2008-08-16,219,12.0
2008-08-17,224,10.0
2008-08-18,224,11.0
2008-08-19,226,13.0
2008-08-20,230,12.0
2008-08-21,227,11.0
2008-08-22,218,11.0
2008-08-23,217,9.0
2008-08-24,226,7.0
2008-08-25,217,9.0
2008-08-26,208,8.0
2008-08-27,219,10.0
2008-08-28,217,10.0
2008-08-29,217,8.0
2008-08-30,216,9.0
2008-08-31,236,7.0
2008-09-01,186,4.0
2008-09-02,215,3.0
2008-09-03,255,5.0
2008-09-04,203,7.0
2008-09-05,216,10.0
2008-09-06,234,10.0
2008-09-07,206,5.0
2008-09-08,246,5.0
2008-09-09,142,6.0
2008-09-10,113,6.0
2008-09-11,77,8.0
2008-09-12,175,5.0
2008-09-13,186,13.0
2008-09-14,165,17.0
2008-09-15,177,20.0
2008-09-16,227,12.0
2008-09-17,263,15.0
2008-09-18,267,15.0
2008-09-19,249,10.0
2008-09-20,219,14.0
2008-09-21,224,11.0
2008-09-22,216,9.0
2008-09-23,208,7.0
2008-09-24,210,5.0
2008-09-25,221,7.0
2008-09-26,230,9.0
2008-09-27,220,9.0
2008-09-28,226,9.0
2008-09-29,236,7.0
2008-09-30,219,8.0
2008-10-01,208,8.0
2008-10-02,210,9.0
2008-10-03,213,5.0
2008-10-04,213,5.0
2008-10-05,223,7.0
2008-10-06,216,7.0
2008-10-07,224,6.0
2008-10-08,211,7.0
2008-10-09,240,4.0
2008-10-10,163,4.0
2008-10-11,155,4.0
2008-10-12,145,5.0
2008-10-13,169,5.0
2008-10-14,200,5.0
2008-10-15,108,6.0
2008-10-16,160,7.0
2008-10-17,62,9.0
2008-10-18,71,10.0
2008-10-19,67,9.0
2008-10-20,131,8.0
2008-10-21,115,8.0
2008-10-22,47,9.0
2008-10-23,55,9.0
2008-10-24,51,8.0
2008-10-25,157,8.0
2008-10-26,186,6.0
2008-10-27,244,7.0
2008-10-28,250,6.0
2008-10-29,257,6.0
2008-10-30,178,6.0
2008-10-31,86,8.0
2008-11-01,114,8.0
2008-11-02,170,8.0
2008-11-03,165,10.0
2008-11-04,169,10.0
2008-11-05,200,6.0
2008-11-06,126,8.0
2008-11-07,46,9.0
2008-11-08,52,8.0
2008-11-09,94,8.0
2008-11-10,138,9.0
2008-11-11,158,6.0
2008-11-12,141,5.0
2008-11-13,212,6.0
2008-11-14,247,4.0
2008-11-15,182,8.0
2008-11-16,48,10.0
2008-11-17,39,12.0
2008-11-18,128,10.0
2008-11-19,182,9.0
2008-11-20,63,10.0
2008-11-21,68,12.0
2008-11-22,40,13.0
2008-11-23,84,11.0
2008-11-24,127,10.0
2008-11-25,137,9.0
2008-11-26,73,10.0
2008-11-27,69,13.0
2008-11-28,60,14.0
2008-11-29,65,15.0
2008-11-30,73,13.0
2008-12-01,117,7.0
2008-12-02,137,7.0
2008-12-03,157,6.0
2008-12-04,71,7.0
2008-12-05,89,8.0
2008-12-06,83,9.0
2008-12-07,174,8.0
2008-12-08,171,4.0
2008-12-09,181,5.0
2008-12-10,102,9.0
2008-12-11,138,12.0
2008-12-12,132,11.0
2008-12-13,179,11.0
2008-12-14,177,9.0
2008-12-15,154,7.0
2008-12-16,185,8.0
2008-12-17,71,9.0
2008-12-18,75,12.0
2008-12-19,47,8.0
2008-12-20,51,7.0
2008-12-21,106,12.0
2008-12-22,62,10.0
2008-12-23,155,11.0
2008-12-24,106,10.0
2008-12-25,156,9.0
2008-12-26,150,7.0
2008-12-27,170,6.0
2008-12-28,263,6.0
2008-12-29,157,7.0
2008-12-30,143,9.0
2008-12-31,189,10.0
2009-01-01,37,13.0
2009-01-02,151,8.0
2009-01-03,179,6.0
2009-01-04,186,6.0
2009-01-05,219,5.0
2009-01-06,143,9.0
