date,direction,speed
2008-07-01,64,9.0
2008-07-02,133,4.0
2008-07-03,162,7.0
2008-07-04,193,7.0
2008-07-05,182,5.0
2008-07-06,141,4.0
2008-07-07,92,5.0
2008-07-08,84,6.0
2008-07-09,99,8.0
2008-07-10,92,6.0
2008-07-11,84,7.0
2008-07-12,100,8.0
2008-07-13,159,4.0
2008-07-14,242,6.0
2008-07-15,222,5.0
2008-07-16,202,7.0
2008-07-17,244,8.0
2008-07-18,138,5.0
2008-07-19,250,7.0
2008-07-20,179,7.0
2008-07-21,234,5.0
2008-07-22,208,7.0
2008-07-23,245,8.0
2008-07-24,208,7.0
2008-07-25,131,5.0
2008-07-26,137,7.0
2008-07-27,88,8.0
2008-07-28,92,8.0
2008-07-29,121,6.0
2008-07-30,99,9.0
2008-07-31,114,7.0
2008-08-01,98,8.0
2008-08-02,109,9.0
2008-08-03,111,8.0
2008-08-04,116,7.0
2008-08-05,115,6.0
2008-08-06,257,5.0
2008-08-07,254,7.0
2008-08-08,242,6.0
2008-08-09,229,3.0
2008-08-10,116,4.0
2008-08-11,97,9.0
2008-08-12,96,13.0
2008-08-13,108,11.0
2008-08-14,114,8.0
2008-08-15,85,7.0
2008-08-16,156,4.0
2008-08-17,172,8.0
2008-08-18,257,10.0
2008-08-19,265,11.0
2008-08-20,270,8.0
2008-08-21,230,5.0
2008-08-22,147,4.0
2008-08-23,187,3.0
2008-08-24,153,4.0
2008-08-25,157,4.0
2008-08-26,168,5.0
2008-08-27,167,4.0
2008-08-28,262,10.0
2008-08-29,253,10.0
2008-08-30,194,7.0
2008-08-31,134,5.0
2008-09-01,193,6.0
2008-09-02,285,7.0
2008-09-03,209,5.0
2008-09-04,217,6.0
2008-09-05,137,5.0
2008-09-06,99,6.0
2008-09-07,174,7.0
2008-09-08,186,5.0
2008-09-09,285,4.0
2008-09-10,107,5.0
2008-09-11,98,6.0
2008-09-12,127,5.0
2008-09-13,132,6.0
2008-09-14,89,6.0
2008-09-15,146,5.0
2008-09-16,214,4.0
2008-09-17,141,5.0
2008-09-18,79,6.0
2008-09-19,113,9.0
2008-09-20,211,4.0
2008-09-21,131,5.0
2008-09-22,194,6.0
2008-09-23,225,6.0
2008-09-24,312,7.0
2008-09-25,298,8.0
2008-09-26,246,8.0
2008-09-27,207,6.0
2008-09-28,270,7.0
2008-09-29,230,6.0
2008-09-30,101,6.0
2008-10-01,156,5.0
2008-10-02,91,6.0
2008-10-03,132,5.0
2008-10-04,135,5.0
2008-10-05,80,8.0
2008-10-06,104,8.0
2008-10-07,138,6.0
2008-10-08,163,5.0
2008-10-09,105,5.0
2008-10-10,186,5.0
2008-10-11,168,4.0
2008-10-12,135,5.0
2008-10-13,177,6.0
2008-10-14,103,9.0
2008-10-15,95,9.0
2008-10-16,56,9.0
2008-10-17,176,8.0
2008-10-18,188,7.0
2008-10-19,106,5.0
2008-10-20,152,6.0
2008-10-21,59,5.0
2008-10-22,199,6.0
2008-10-23,131,5.0
2008-10-24,106,7.0
2008-10-25,84,8.0
2008-10-26,107,5.0
2008-10-27,299,8.0
2008-10-28,208,5.0
2008-10-29,187,5.0
2008-10-30,262,6.0
2008-10-31,300,10.0
2008-11-01,298,8.0
2008-11-02,245,8.0
2008-11-03,233,5.0
2008-11-04,240,6.0
2008-11-05,187,5.0
2008-11-06,102,4.0
2008-11-07,86,5.0
2008-11-08,138,4.0
2008-11-09,138,5.0
2008-11-10,47,3.0
2008-11-11,192,4.0
2008-11-12,105,5.0
2008-11-13,113,8.0
2008-11-14,70,6.0
2008-11-15,79,5.0
2008-11-16,110,5.0
2008-11-17,217,5.0
2008-11-18,138,5.0
2008-11-19,137,4.0
2008-11-20,157,6.0
2008-11-21,312,9.0
2008-11-22,304,11.0
2008-11-23,319,8.0
2008-11-24,297,9.0
2008-11-25,100,5.0
2008-11-26,88,6.0
2008-11-27,109,5.0
2008-11-28,276,6.0
2008-11-29,261,10.0
2008-11-30,321,5.0
2008-12-01,97,5.0
2008-12-02,270,6.0
2008-12-03,300,8.0
2008-12-04,213,5.0
2008-12-05,288,5.0
2008-12-06,211,8.0
2008-12-07,206,7.0
2008-12-08,108,9.0
2008-12-09,230,5.0
2008-12-10,274,8.0
2008-12-11,322,9.0
2008-12-12,315,8.0
2008-12-13,169,6.0
2008-12-14,274,7.0
2008-12-15,236,8.0
2008-12-16,164,5.0
2008-12-17,288,5.0
2008-12-18,322,10.0
2008-12-19,280,14.0
2008-12-20,237,6.0
2008-12-21,305,11.0
2008-12-22,291,10.0
2008-12-23,284,8.0
2008-12-24,295,7.0
2008-12-25,273,4.0
2008-12-26,132,4.0
2008-12-27,116,5.0
2008-12-28,129,5.0
2008-12-29,244,6.0
2008-12-30,331,6.0
2008-12-31,311,9.0
2009-01-01,312,11.0
2009-01-02,289,4.0
2009-01-03,99,5.0
2009-01-04,85,6.0
2009-01-05,159,6.0
2009-01-06,160,6.0
2009-01-07,298,8.0
2009-01-08,273,6.0
2009-01-09,202,5.0
2009-01-10,294,8.0
2009-01-11,311,8.0
2009-01-12,277,7.0
2009-01-13,255,6.0
2009-01-14,316,8.0
2009-01-15,321,7.0
2009-01-16,210,6.0
2009-01-17,212,8.0
2009-01-18,168,6.0
2009-01-19,308,12.0
2009-01-20,299,14.0
2009-01-21,300,15.0
2009-01-22,308,10.0
2009-01-23,307,16.0
2009-01-24,297,14.0
2009-01-25,157,7.0
2009-01-26,227,6.0
2009-01-27,297,9.0
2009-01-28,293,12.0
2009-01-29,320,5.0
2009-01-30,277,9.0
2009-01-31,315,15.0
2009-02-01,298,10.0
2009-02-02,275,7.0
2009-02-03,151,6.0
2009-02-04,120,6.0
2009-02-05,116,10.0
