date,direction,speed
2008-07-01,201,7.0
2008-07-02,268,10.0
2008-07-03,229,12.0
2008-07-04,217,4.0
2008-07-05,147,4.0
2008-07-06,114,6.0
2008-07-07,166,6.0
2008-07-08,215,13.0
2008-07-09,223,12.0
2008-07-10,305,11.0
2008-07-11,153,6.0
2008-07-12,174,12.0
2008-07-13,176,13.0
2008-07-14,202,8.0
2008-07-15,165,5.0
2008-07-16,169,5.0
2008-07-17,168,5.0
2008-07-18,255,7.0
2008-07-19,230,12.0
2008-07-20,207,15.0
2008-07-21,278,7.0
2008-07-22,131,7.0
2008-07-23,117,11.0
2008-07-24,185,11.0
2008-07-25,254,8.0
2008-07-26,214,11.0
2008-07-27,197,9.0
2008-07-28,260,6.0
2008-07-29,267,9.0
2008-07-30,202,7.0
2008-07-31,264,7.0
2008-08-01,255,5.0
2008-08-02,241,5.0
2008-08-03,314,11.0
2008-08-04,312,10.0
2008-08-05,173,7.0
2008-08-06,264,10.0
2008-08-07,261,7.0
2008-08-08,273,9.0
2008-08-09,262,8.0
2008-08-10,183,7.0
2008-08-11,200,6.0
2008-08-12,304,10.0
2008-08-13,195,7.0
2008-08-14,183,5.0
2008-08-15,165,4.0
2008-08-16,269,7.0
2008-08-17,266,8.0
2008-08-18,234,10.0
2008-08-19,299,13.0
2008-08-20,147,8.0
2008-08-21,132,7.0
2008-08-22,192,7.0
2008-08-23,165,8.0
2008-08-24,199,9.0
2008-08-25,282,11.0
2008-08-26,59,8.0
2008-08-27,85,8.0
2008-08-28,98,7.0
2008-08-29,128,6.0
2008-08-30,235,5.0
2008-08-31,332,8.0
2008-09-01,300,7.0
2008-09-02,145,6.0
2008-09-03,144,7.0
2008-09-04,212,8.0
2008-09-05,178,12.0
2008-09-06,156,13.0
2008-09-07,284,13.0
2008-09-08,258,8.0
2008-09-09,217,11.0
2008-09-10,106,8.0
2008-09-11,110,8.0
2008-09-12,192,10.0
2008-09-13,204,5.0
2008-09-14,195,12.0
2008-09-15,289,18.0
2008-09-16,54,5.0
2008-09-17,87,6.0
2008-09-18,90,12.0
2008-09-19,76,12.0
2008-09-20,105,7.0
2008-09-21,243,5.0
2008-09-22,51,12.0
2008-09-23,67,10.0
2008-09-24,68,9.0
2008-09-25,59,19.0
2008-09-26,53,17.0
2008-09-27,60,8.0
2008-09-28,103,4.0
2008-09-29,348,10.0
2008-09-30,109,7.0
2008-10-01,241,8.0
2008-10-02,273,16.0
2008-10-03,265,13.0
2008-10-04,275,7.0
2008-10-05,73,7.0
2008-10-06,18,10.0
2008-10-07,278,8.0
2008-10-08,237,9.0
2008-10-09,237,13.0
2008-10-10,308,6.0
2008-10-11,93,8.0
2008-10-12,133,8.0
2008-10-13,235,8.0
2008-10-14,174,9.0
2008-10-15,255,6.0
2008-10-16,259,13.0
2008-10-17,228,11.0
2008-10-18,27,16.0
