date,direction,speed
2008-07-01,162,12.0
2008-07-02,213,7.0
2008-07-03,205,11.0
2008-07-04,184,9.0
2008-07-05,170,19.0
2008-07-06,193,20.0
2008-07-07,226,18.0
2008-07-08,244,18.0
2008-07-09,202,14.0
2008-07-10,217,18.0
2008-07-11,233,17.0
2008-07-12,275,13.0
2008-07-13,263,7.0
2008-07-14,245,11.0
2008-07-15,242,13.0
2008-07-16,291,11.0
2008-07-17,259,12.0
2008-07-18,235,14.0
2008-07-19,259,20.0
2008-07-20,297,15.0
2008-07-21,309,14.0
2008-07-22,292,7.0
2008-07-23,129,7.0
2008-07-24,89,15.0
2008-07-25,154,13.0
2008-07-26,276,5.0
2008-07-27,232,5.0
2008-07-28,98,10.0
2008-07-29,198,16.0
2008-07-30,168,11.0
2008-07-31,121,8.0
2008-08-01,208,20.0
2008-08-02,211,14.0
2008-08-03,223,13.0
2008-08-04,252,14.0
2008-08-05,210,13.0
2008-08-06,194,10.0
2008-08-07,228,8.0
2008-08-08,294,10.0
2008-08-09,203,18.0
2008-08-10,225,21.0
2008-08-11,212,14.0
2008-08-12,190,19.0
2008-08-13,222,21.0
2008-08-14,227,12.0
2008-08-15,254,8.0
2008-08-16,160,15.0
2008-08-17,204,14.0
2008-08-18,184,18.0
2008-08-19,219,21.0
2008-08-20,228,16.0
2008-08-21,223,14.0
2008-08-22,278,8.0
2008-08-23,262,10.0
2008-08-24,219,13.0
2008-08-25,220,15.0
2008-08-26,238,12.0
2008-08-27,255,13.0
2008-08-28,251,9.0
2008-08-29,191,5.0
2008-08-30,112,9.0
2008-08-31,178,7.0
2008-09-01,222,19.0
2008-09-02,207,17.0
2008-09-03,227,20.0
2008-09-04,209,17.0
2008-09-05,153,16.0
2008-09-06,193,17.0
2008-09-07,264,15.0
2008-09-08,218,11.0
2008-09-09,164,12.0
2008-09-10,197,14.0
2008-09-11,189,14.0
2008-09-12,264,6.0
2008-09-13,203,5.0
2008-09-14,54,9.0
2008-09-15,81,7.0
2008-09-16,99,5.0
2008-09-17,66,7.0
2008-09-18,101,7.0
2008-09-19,160,5.0
2008-09-20,129,5.0
2008-09-21,87,7.0
2008-09-22,141,11.0
2008-09-23,226,17.0
2008-09-24,27,15.0
2008-09-25,39,11.0
2008-09-26,65,10.0
2008-09-27,183,3.0
2008-09-28,271,6.0
2008-09-29,286,12.0
2008-09-30,245,21.0
2008-10-01,258,25.0
2008-10-02,264,16.0
2008-10-03,303,15.0
2008-10-04,225,21.0
2008-10-05,194,19.0
2008-10-06,166,7.0
2008-10-07,193,20.0
2008-10-08,295,10.0
2008-10-09,229,8.0
2008-10-10,202,17.0
2008-10-11,206,11.0
2008-10-12,157,8.0
2008-10-13,228,13.0
2008-10-14,222,10.0
2008-10-15,231,16.0
2008-10-16,276,16.0
2008-10-17,262,9.0
2008-10-18,242,12.0
2008-10-19,214,18.0
2008-10-20,221,21.0
